Group Code,Customer Account ID,Customer Name,Line of Business,Line of Coverage,Premium Due Date,Premium Amount,Rate,Payment Amount,Payment Category Name,Marketer Name,Product Name,"* Paid Family Medical Leave  PFML  compensation is identified as Paid Medical Leave  PML  in some states.


Customer Confidential     This document is the property of Principal. It may not be shared without explicit permission of Principal."
00366-00246,1093818-10003,KING GREEN LLC,GROUP,LIFE,05/01/2025,215.02,15%,32.25,RENEWAL,J C SNELLINGS,
00366-00246,1093818-10003,KING GREEN LLC,GROUP,VOL DENTAL,05/01/2025,1702.36,10%,170.23,RENEWAL,J C SNELLINGS,
00366-00246,1093818-10003,KING GREEN LLC,GROUP,VISION,05/01/2025,280.52,10%,28.06,RENEWAL,J C SNELLINGS,
00366-00246,1099992-10001,BOILER SUPPLY CO,GROUP,VOL TRM LIFE,05/01/2025,2370.68,15%,355.60,RENEWAL,J C SNELLINGS,
00366-00246,1099992-10001,BOILER SUPPLY CO,GROUP,LTD,05/01/2025,2677.56,10%,267.76,RENEWAL,J C SNELLINGS,
00366-00246,1099992-10001,BOILER SUPPLY CO,GROUP,LIFE,05/01/2025,2317.92,10%,231.80,RENEWAL,J C SNELLINGS,
00366-00246,1118125-10001,XSTRAHL INC,GROUP,ACC,05/01/2025,278.61,25%,69.65,FIRST YEAR,J C SNELLINGS,
00366-00246,1118125-10001,XSTRAHL INC,GROUP,VCI,05/01/2025,65.12,25%,16.28,FIRST YEAR,J C SNELLINGS,
00366-00246,1118125-10001,XSTRAHL INC,GROUP,VSTD,05/01/2025,469.47,15%,70.42,FIRST YEAR,J C SNELLINGS,
00366-00246,1118125-10001,XSTRAHL INC,GROUP,VOL TRM LIFE,05/01/2025,310.82,15%,46.62,FIRST YEAR,J C SNELLINGS,
00366-00246,1118125-10001,XSTRAHL INC,GROUP,DENTAL,05/01/2025,2469.69,10%,246.97,RENEWAL,J C SNELLINGS,
00366-00246,1118125-10001,XSTRAHL INC,GROUP,VISION,05/01/2025,298.98,10%,29.90,RENEWAL,J C SNELLINGS,
00366-00246,1118125-10001,XSTRAHL INC,GROUP,LIFE,05/01/2025,194.38,10%,19.44,RENEWAL,J C SNELLINGS,
00366-00246,1131126-10001,HICKCOX ROBERTSO,GROUP,LIFE,05/01/2025,129.14,20%,25.83,RENEWAL,J C SNELLINGS,
00366-00246,1131126-10001,HICKCOX ROBERTSO,GROUP,VOL DENTAL,05/01/2025,1546.91,15%,232.04,RENEWAL,J C SNELLINGS,
00366-00246,1131126-10001,HICKCOX ROBERTSO,GROUP,LTD,05/01/2025,1026.70,15%,154.01,RENEWAL,J C SNELLINGS,
00366-00246,1131126-10001,HICKCOX ROBERTSO,GROUP,STD,05/01/2025,492.37,15%,73.86,RENEWAL,J C SNELLINGS,
00366-00246,1131126-10001,HICKCOX ROBERTSO,GROUP,VISION,05/01/2025,164.03,10%,16.40,RENEWAL,J C SNELLINGS,
00366-00246,1141201-10001,ENTRUSTED ADVISO,GROUP,DENTAL,05/01/2025,141.30,10%,14.13,RENEWAL,J C SNELLINGS,
00366-00246,1141201-10001,ENTRUSTED ADVISO,GROUP,VISION,05/01/2025,15.78,10%,1.58,RENEWAL,J C SNELLINGS,
00366-00246,1152352-10001,Plants Creative,GROUP,VOL TRM LIFE,05/01/2025,4.55,20%,.91,RENEWAL,J C SNELLINGS,
00366-00246,1152352-10001,Plants Creative,GROUP,LIFE,05/01/2025,2.99,15%,.45,RENEWAL,J C SNELLINGS,
00366-00246,1152352-10001,Plants Creative,GROUP,VOL DENTAL,05/01/2025,6.60,13%,.86,RENEWAL,J C SNELLINGS,
